"# Dexity Intel — real job descriptions backing this role's article. Source: public ATS boards (Greenhouse/Lever/Ashby) official JSON APIs. Snapshot: July 2026, rolling scan. Each row is a real posting — verify by searching the title at the company."

company,job_title,word_count
roku,"Ad Product Marketing Manager, Commerce Media ",1176
peloton,Sr. Marketing Manager (Fixed Term Contract),961
block,Global B2B Growth Marketing Lead,1121
block,"Partner Marketing Manager, UK",733
fastly,"Director, Content Marketing",1440
fastly,"Senior Director, Digital & Growth Marketing",1426
circleci,Marketing Manager,813
circleci,Sr. Product Marketing Manager,567
launchdarkly,Product Marketing Manager,927
imply,Demand Generation Manager (Remote),839
zscaler,"Director Product Marketing, Zscaler Private Access",1104
zscaler,Senior Product Marketing Manager,1144
zscaler,Senior Product Marketing Manager - AI Protect,1347
zscaler,"Senior Product Marketing Manager, Zero Trust Branch",1089
zscaler,"Senior Product Marketing Manager, Zero Trust Cloud",1167
zscaler,"Senior Product Marketing Manager, ZIA",1118
pingidentity,Senior Field Marketing Manager,736
typeface,Senior Content Marketing Manager ,699
typeface,Senior Product Marketing Manager ,757
jetbrains,Senior Marketing Manager,593
youcom,Developer Marketing Lead,775
cresta,"Demand Generation Manager, Enterprise",700
cresta,Digital Marketing Manager ,818
cresta,"Director, Product Marketing - International (EMEA & APAC)",676
cresta,Enterprise Demand Generation Manager,700
cresta,Events and Field Marketing Manager,741
cresta,"Growth Marketing Manager, Web & CRO",836
cresta,Head of Demand Generation & Growth ,783
remotecom,Content Marketing Lead,1446
gemini,"Associate, Growth Marketing (Advanced Trading Products)",824
mistral,"Product Marketing Manager, Solutions",595
mistral,Senior Product Marketing Manager - Studio,805
jobgether,🇧🇷 Field Marketing Manager,450
jobgether,B2B Content Marketing Specialist,377
jobgether,Brand Marketing Manager,462
jobgether,Content Marketing Lead,466
jobgether,Content Marketing Manager,439
jobgether,"Creative Strategist, Consumer Growth Marketing",431
jobgether,Customer Marketing Manager,472
jobgether,Demand Generation Manager,567
jobgether,Digital Marketing Manager,522
jobgether,Director of Demand Generation,408
jobgether,Events & Field Marketing Manager,522
jobgether,Field Marketing Manager,595
jobgether,Growth Marketing Lead (Contractor/Fractional),519
jobgether,Growth Marketing Manager,568
jobgether,Growth Marketing Manager - 3 Month Contract,429
jobgether,Head of Marketing and Growth,454
jobgether,Lease-Up Marketing Manager (Real Estate),565
jobgether,Lifecycle Marketing Manager,542
jobgether,"Marketing Manager, Communications",508
jobgether,Paid Digital Marketing Manager,496
jobgether,Performance Marketing Lead – African Markets,513
jobgether,Performance Marketing Manager,433
jobgether,Product Marketing Manager,447
jobgether,Product Marketing Manager - SaaSify,525
jobgether,Product Marketing Manager (AI Team),621
jobgether,Regional Marketing Manager,503
jobgether,Senior Customer Marketing Manager,485
jobgether,"Senior Director, Growth Marketing",416
jobgether,Senior Event Marketing Manager,475
jobgether,Senior Growth Marketing Manager,458
jobgether,"Senior Integrated Marketing Manager, Life Sciences",521
jobgether,Senior Partner Marketing Manager,465
jobgether,Senior Performance Marketing Manager,536
jobgether,"Senior Product Manager, Growth Marketing Platform",506
jobgether,Senior Product Marketing Manager,469
jobgether,Senior Project Manager (360° Creative & Growth Marketing Campaigns),339
jobgether,Sr Product Marketing Manager,633
jobgether,"Sr. Director, Growth Marketing",427
jobgether,"Sr. Manager, Growth Marketing",444
dnb,"Marketing Manager, Public Sector (R-19430)",722
dnb,"Senior Product Marketing Manager, Sales and Marketing Solutions (R-19313)",1096
veeva,Associate Field Marketing Manager / Manager,592
veeva,Content Marketing - Manager / Senior Manager,893
veeva,Customer Marketing Manager,683
veeva,Director Product Marketing - Clinical Operations,707
veeva,Field Marketing Manager/Senior Manager,610
veeva,Maternity Cover - Field Marketing Manager / Senior Manager,792
veeva,Product Marketing - Associate Director / Director,804
veeva,Product Marketing - Associate Manager/Manager,798
veeva,Product Marketing - Manager / Senior Manager,780
veeva,Product Marketing Manager / Associate Manager - Veeva Link,848
veeva,Product Marketing Manager / Senior Manager - Clinical Operations,741
veeva,Product Marketing Manager / Senior Manager - Commercial Content,728
veeva,Senior Field Marketing Manager - Quality Cloud,750
spotify,"Consumer Marketing Manager, East Africa",637
spotify,"Experiential Marketing Manager, South Korea",435
spotify,Marketing Manager ANZ,750
spotify,Marketing Manager UK/IE,564
spotify,"Marketing Manager, Brand Experience",491
spotify,Social Marketing Manager,687
headway,"Staff Product Marketing Manager, Payer - Clinical Value",954
headway,Head of Patient Growth Marketing,1006
supabase,Field & Events Marketing Manager ,1160
profound,Product Marketing Manager,781
profound,Content Marketing Manager,620
profound,Demand Generation Lead,659
profound,Partner Marketing Manager,651
profound,Creator Marketing Manager,789
profound,Lifecycle Marketing Manager,696
openai,"Growth Marketing, Creative System and Optimization",1075
openai,Industry Product Marketing Manager,983
openai,"Partner Marketing Lead, APAC",827
openai,Integrated Marketing Manager,881
openai,"Customer Marketing Manager, SMB",782
openai,Brand Partner Marketing Manager,1210
openai,"Developer Marketing Lead, APAC",879
openai,"B2B Marketing Lead, Korea",923
openai,"Product Marketing Manager, Cybersecurity",1031
openai,"Product Marketing Lead, Advertising",843
openai,"Product Marketing Manager, Marketing Finance",949
openai,"Developer Marketing Lead, India",897
openai,"Customer Marketing Manager, Enterprise and Digital Natives",993
ramp,"Enterprise Marketing Manager, Strategic Accounts",1041
ramp,Product Marketing Manager,881
linear,Product Marketing Manager,605
notion,Field Marketing Manager,975
notion,"SMB Demand Generation Marketing Manager, Japan (Contract)",856
notion,"Product Marketing Manager, Core Product",949
cursor,Product Marketing Manager,462
cursor,"Vertical Marketing Lead, Americas",603
cursor,Customer Marketing Manager,523
cursor,"Field Marketing Manager, West",591
watershed,Product marketing manager,790
baseten,Partnerships Product Marketing Manager,604
baseten,Customer Marketing Manager ,669
baseten,Ecosystem Partnerships Product Marketings Manager,588
modal,Product Marketing Manager,530
decagon,Field Marketing Manager ,458
decagon,Senior Customer Marketing Manager,505
decagon,Growth Marketing Manager,692
sierra,"Marketing Manager, Events (Europe) ",1090
writer,"Senior product marketing manager, platform & LLMs",664
